,Trees,Learning Rate,Subsample,% Features,Weight of Default,AUC Train,AUC Test 1,AUC Test 2
54,50,0.1,0.5,1.0,1,0.9001570786946687,0.517526849402323,0.5420347629776263
55,50,0.1,0.8,1.0,1,0.899911986710691,0.5286995113774534,0.5280678400803425
56,50,0.1,0.5,1.0,5,0.8902811192751152,0.5205020588903817,0.5228198979959753
57,50,0.1,0.8,1.0,5,0.8881021954398979,0.5291249120806774,0.5019853670453209
58,50,0.1,0.5,1.0,10,0.8917854469210404,0.5227169204518659,0.5212469469300567
59,50,0.1,0.8,1.0,10,0.872179703987664,0.5286330949437177,0.5341089335889361
60,100,0.1,0.5,1.0,1,0.9394668103194956,0.5295365267508685,0.5539323202172817
61,100,0.1,0.8,1.0,1,0.9425798169212021,0.5274951126579259,0.5379957126293667
62,100,0.1,0.5,1.0,5,0.9403315091845729,0.5226563294477345,0.5064993395359987
63,100,0.1,0.8,1.0,5,0.9418997895096928,0.5308832495123279,0.5132783722343126
64,100,0.1,0.5,1.0,10,0.9393269617350247,0.5251896096994846,0.5239711461880734
65,100,0.1,0.8,1.0,10,0.9349714271077143,0.5239253144520057,0.533227914693719
66,300,0.1,0.5,1.0,1,0.9772884913010146,0.5269859744680054,0.5470238726985729
67,300,0.1,0.8,1.0,1,0.9776648779575876,0.5329287950576826,0.5289280662424405
68,300,0.1,0.5,1.0,5,0.9770847436629628,0.5212751606677452,0.5215002006225122
69,300,0.1,0.8,1.0,5,0.9782924984850326,0.5447060870592071,0.5247359550233552
70,300,0.1,0.5,1.0,10,0.9777551192157412,0.5217928858513741,0.5251637239190938
71,300,0.1,0.8,1.0,10,0.9786493120431394,0.5205524696907445,0.5395265663744145
